100	0.000000	10000.000000
200	0.000000	40000.000000
300	0.000000	90000.000000
400	0.001000	160000.000000
500	0.000000	250000.000000
600	0.000000	360000.000000
700	0.000000	490000.000000
800	0.000000	640000.000000
900	0.001000	810000.000000
1000	0.001000	1000000.000000
1100	0.002000	1210000.000000
1200	0.001000	1440000.000000
1300	0.002000	1690000.000000
1400	0.003000	1960000.000000
1500	0.001000	2250000.000000
1600	0.002000	2560000.000000
1700	0.004000	2890000.000000
1800	0.003000	3240000.000000
1900	0.003000	3610000.000000
2000	0.004000	4000000.000000
2100	0.004000	4410000.000000
2200	0.004000	4840000.000000
2300	0.005000	5290000.000000
2400	0.005000	5760000.000000
2500	0.006000	6250000.000000
2600	0.007000	6760000.000000
2700	0.006000	7290000.000000
2800	0.007000	7840000.000000
2900	0.008000	8410000.000000
3000	0.008000	9000000.000000
3100	0.009000	9610000.000000
3200	0.009000	10240000.000000
3300	0.011000	10890000.000000
3400	0.012000	11560000.000000
3500	0.010000	12250000.000000
3600	0.011000	12960000.000000
3700	0.012000	13690000.000000
3800	0.012000	14440000.000000
3900	0.013000	15210000.000000
4000	0.014000	16000000.000000
4100	0.014000	16810000.000000
4200	0.016000	17640000.000000
4300	0.015000	18490000.000000
4400	0.017000	19360000.000000
4500	0.017000	20250000.000000
4600	0.018000	21160000.000000
4700	0.020000	22090000.000000
4800	0.020000	23040000.000000
4900	0.021000	24010000.000000
5000	0.021000	25000000.000000
5100	0.022000	26010000.000000
5200	0.023000	27040000.000000
5300	0.027000	28090000.000000
5400	0.024000	29160000.000000
5500	0.027000	30250000.000000
5600	0.028000	31360000.000000
5700	0.028000	32490000.000000
5800	0.028000	33640000.000000
5900	0.029000	34810000.000000
6000	0.029000	36000000.000000
6100	0.032000	37210000.000000
6200	0.031000	38440000.000000
6300	0.034000	39690000.000000
6400	0.034000	40960000.000000
6500	0.034000	42250000.000000
6600	0.035000	43560000.000000
6700	0.036000	44890000.000000
6800	0.039000	46240000.000000
6900	0.041000	47610000.000000
7000	0.041000	49000000.000000
7100	0.043000	50410000.000000
7200	0.042000	51840000.000000
7300	0.061000	53290000.000000
7400	0.061000	54760000.000000
7500	0.048000	56250000.000000
7600	0.049000	57760000.000000
7700	0.050000	59290000.000000
7800	0.049000	60840000.000000
7900	0.055000	62410000.000000
8000	0.052000	64000000.000000
8100	0.063000	65610000.000000
8200	0.057000	67240000.000000
8300	0.058000	68890000.000000
8400	0.060000	70560000.000000
8500	0.060000	72250000.000000
8600	0.062000	73960000.000000
8700	0.063000	75690000.000000
8800	0.066000	77440000.000000
8900	0.069000	79210000.000000
9000	0.070000	81000000.000000
9100	0.069000	82810000.000000
9200	0.072000	84640000.000000
9300	0.073000	86490000.000000
9400	0.076000	88360000.000000
9500	0.076000	90250000.000000
9600	0.078000	92160000.000000
9700	0.080000	94090000.000000
9800	0.082000	96040000.000000
9900	0.083000	98010000.000000
10000	0.085000	100000000.000000
